appId,instanceId,v0,v1,v2,v3,v4,v5,v6,y
wine_quality_iter7,64,8.0,0.59,1.8,16.0,3.42,0.92,10.5,1
wine_quality_iter7,65,8.0,0.42,2.0,18.0,3.29,0.61,9.2,0
wine_quality_iter7,66,7.2,0.48,5.5,18.0,3.37,0.68,11.2,1
wine_quality_iter7,67,9.2,0.52,3.4,69.0,2.74,2.0,9.4,0
wine_quality_iter7,68,8.3,0.28,2.1,12.0,3.26,0.62,12.4,1
wine_quality_iter7,69,8.9,0.12,1.8,21.0,3.41,0.76,11.9,1
wine_quality_iter7,70,7.9,0.31,1.9,36.0,3.41,0.56,12.6,0
wine_quality_iter7,71,7.8,0.58,2.0,18.0,3.36,0.57,9.5,1
wine_quality_iter7,72,7.6,0.43,2.1,74.0,3.26,0.54,9.9,0
wine_quality_iter7,73,7.9,0.3,8.3,289.0,3.01,0.51,12.3,1
wine_quality_iter7,74,12.4,0.4,2.0,24.0,3.04,0.6,9.3,0
wine_quality_iter7,75,7.6,0.55,2.2,28.0,3.28,0.55,9.7,0
wine_quality_iter7,76,8.5,0.585,2.1,30.0,3.2,0.48,9.8,0
wine_quality_iter7,77,8.4,0.25,2.0,10.0,3.27,0.71,12.5,1
wine_quality_iter7,78,9.2,0.63,2.7,65.0,3.28,0.58,9.6,0
wine_quality_iter7,79,7.5,0.52,1.9,35.0,3.38,0.62,9.5,1
wine_quality_iter7,80,7.2,0.37,2.0,28.0,3.23,0.73,11.3,1
wine_quality_iter7,81,9.4,0.27,2.4,18.0,3.2,1.13,12.0,1
wine_quality_iter7,82,8.9,0.12,1.8,21.0,3.41,0.76,11.9,1
wine_quality_iter7,83,10.4,0.38,2.1,10.0,3.12,0.65,11.8,1
wine_quality_iter7,84,7.3,0.59,2.0,104.0,3.28,0.52,9.9,0
wine_quality_iter7,85,8.4,0.37,2.3,19.0,3.17,0.81,11.2,1
wine_quality_iter7,86,7.2,0.56,2.0,100.0,3.26,0.52,9.9,0
wine_quality_iter7,87,10.6,0.44,4.1,24.0,3.06,0.66,13.4,0
wine_quality_iter7,88,8.6,0.38,3.0,119.0,3.2,0.56,9.4,0
wine_quality_iter7,89,9.9,0.59,3.4,71.0,3.31,0.71,9.8,0
wine_quality_iter7,90,6.6,0.815,2.7,34.0,3.58,0.89,12.3,1
wine_quality_iter7,91,9.1,0.21,1.6,10.0,3.23,0.58,11.1,1
wine_quality_iter7,92,8.7,0.82,1.2,48.0,3.2,0.58,9.8,0
wine_quality_iter7,93,9.8,0.3,1.7,9.0,3.14,0.57,11.5,1
wine_quality_iter7,94,7.7,0.27,3.5,10.0,3.25,1.08,9.9,1
wine_quality_iter7,95,6.6,0.725,7.8,79.0,3.29,0.54,9.2,0
wine_quality_iter7,96,7.4,0.785,5.2,98.0,3.16,0.52,9.56666666666667,0
wine_quality_iter7,97,7.1,0.27,2.1,25.0,3.38,0.72,10.6,0
wine_quality_iter7,98,5.3,0.47,2.2,89.0,3.54,0.88,13.6,1
wine_quality_iter7,99,8.2,0.28,2.4,10.0,3.33,0.7,12.8,1
wine_quality_iter7,100,7.9,0.34,1.9,10.0,3.27,0.54,11.2,1
wine_quality_iter7,101,10.5,0.51,2.4,15.0,3.09,0.66,11.8,1
wine_quality_iter7,102,9.4,0.395,4.6,10.0,3.27,0.64,12.2,1
wine_quality_iter7,103,7.7,0.915,2.2,23.0,3.35,0.65,10.2,1
wine_quality_iter7,104,8.9,0.32,2.0,19.0,3.17,0.55,10.4,0
wine_quality_iter7,105,11.7,0.28,1.7,32.0,3.15,0.67,10.6,1
wine_quality_iter7,106,6.4,0.53,3.9,31.0,3.5,0.67,11.0,0
wine_quality_iter7,107,5.1,0.585,1.7,86.0,3.56,0.94,12.9,1
wine_quality_iter7,108,6.7,0.41,2.8,54.0,3.42,1.16,10.6,0
wine_quality_iter7,109,8.9,0.4,2.6,27.0,3.32,0.9,13.4,1
wine_quality_iter7,110,11.6,0.41,1.5,41.0,3.02,0.76,9.9,1
wine_quality_iter7,111,8.7,0.7,2.5,15.0,3.32,0.6,9.0,0
wine_quality_iter7,112,7.1,0.43,5.5,128.0,3.42,0.71,10.5,0
wine_quality_iter7,113,8.8,0.24,1.7,27.0,3.14,0.59,11.3,1
wine_quality_iter7,114,7.0,0.4,3.6,29.0,3.28,0.49,11.3,1
wine_quality_iter7,115,7.8,0.32,2.7,17.0,3.33,0.78,11.0,1
wine_quality_iter7,116,10.0,0.32,2.2,15.0,3.2,0.78,9.6,0
wine_quality_iter7,117,9.2,0.31,2.2,31.0,3.33,0.86,12.0,1
wine_quality_iter7,118,9.0,0.58,2.0,21.0,3.27,0.72,9.6,0
wine_quality_iter7,119,7.2,0.67,2.2,24.0,3.42,0.72,11.1,0
wine_quality_iter7,120,7.7,0.63,1.9,27.0,3.32,0.54,9.5,0
wine_quality_iter7,121,7.4,0.68,1.8,39.0,3.5,0.7,9.9,0
