appId,instanceId,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,y
wine_quality_iter10,82,8.9,0.12,0.45,1.8,0.075,10.0,21.0,3.41,0.76,11.9,1
wine_quality_iter10,83,10.4,0.38,0.46,2.1,0.104,6.0,10.0,3.12,0.65,11.8,1
wine_quality_iter10,84,7.3,0.59,0.26,2.0,0.08,17.0,104.0,3.28,0.52,9.9,0
wine_quality_iter10,85,8.4,0.37,0.43,2.3,0.063,12.0,19.0,3.17,0.81,11.2,1
wine_quality_iter10,86,7.2,0.56,0.26,2.0,0.083,13.0,100.0,3.26,0.52,9.9,0
wine_quality_iter10,87,10.6,0.44,0.68,4.1,0.114,6.0,24.0,3.06,0.66,13.4,0
wine_quality_iter10,88,8.6,0.38,0.36,3.0,0.081,30.0,119.0,3.2,0.56,9.4,0
wine_quality_iter10,89,9.9,0.59,0.07,3.4,0.102,32.0,71.0,3.31,0.71,9.8,0
wine_quality_iter10,90,6.6,0.815,0.02,2.7,0.072,17.0,34.0,3.58,0.89,12.3,1
wine_quality_iter10,91,9.1,0.21,0.37,1.6,0.067,6.0,10.0,3.23,0.58,11.1,1
wine_quality_iter10,92,8.7,0.82,0.02,1.2,0.07,36.0,48.0,3.2,0.58,9.8,0
wine_quality_iter10,93,9.8,0.3,0.39,1.7,0.062,3.0,9.0,3.14,0.57,11.5,1
wine_quality_iter10,94,7.7,0.27,0.68,3.5,0.358,5.0,10.0,3.25,1.08,9.9,1
wine_quality_iter10,95,6.6,0.725,0.2,7.8,0.073,29.0,79.0,3.29,0.54,9.2,0
wine_quality_iter10,96,7.4,0.785,0.19,5.2,0.094,19.0,98.0,3.16,0.52,9.56666666666667,0
wine_quality_iter10,97,7.1,0.27,0.6,2.1,0.074,17.0,25.0,3.38,0.72,10.6,0
wine_quality_iter10,98,5.3,0.47,0.11,2.2,0.048,16.0,89.0,3.54,0.88,13.6,1
wine_quality_iter10,99,8.2,0.28,0.4,2.4,0.052,4.0,10.0,3.33,0.7,12.8,1
wine_quality_iter10,100,7.9,0.34,0.36,1.9,0.065,5.0,10.0,3.27,0.54,11.2,1
wine_quality_iter10,101,10.5,0.51,0.64,2.4,0.107,6.0,15.0,3.09,0.66,11.8,1
wine_quality_iter10,102,9.4,0.395,0.46,4.6,0.094,3.0,10.0,3.27,0.64,12.2,1
wine_quality_iter10,103,7.7,0.915,0.12,2.2,0.143,7.0,23.0,3.35,0.65,10.2,1
wine_quality_iter10,104,8.9,0.32,0.31,2.0,0.088,12.0,19.0,3.17,0.55,10.4,0
wine_quality_iter10,105,11.7,0.28,0.47,1.7,0.054,17.0,32.0,3.15,0.67,10.6,1
wine_quality_iter10,106,6.4,0.53,0.09,3.9,0.123,14.0,31.0,3.5,0.67,11.0,0
wine_quality_iter10,107,5.1,0.585,0.0,1.7,0.044,14.0,86.0,3.56,0.94,12.9,1
wine_quality_iter10,108,6.7,0.41,0.43,2.8,0.076,22.0,54.0,3.42,1.16,10.6,0
wine_quality_iter10,109,8.9,0.4,0.51,2.6,0.052,13.0,27.0,3.32,0.9,13.4,1
wine_quality_iter10,110,11.6,0.41,0.54,1.5,0.095,22.0,41.0,3.02,0.76,9.9,1
wine_quality_iter10,111,8.7,0.7,0.24,2.5,0.226,5.0,15.0,3.32,0.6,9.0,0
wine_quality_iter10,112,7.1,0.43,0.42,5.5,0.071,28.0,128.0,3.42,0.71,10.5,0
wine_quality_iter10,113,8.8,0.24,0.35,1.7,0.055,13.0,27.0,3.14,0.59,11.3,1
wine_quality_iter10,114,7.0,0.4,0.32,3.6,0.061,9.0,29.0,3.28,0.49,11.3,1
wine_quality_iter10,115,7.8,0.32,0.44,2.7,0.104,8.0,17.0,3.33,0.78,11.0,1
wine_quality_iter10,116,10.0,0.32,0.59,2.2,0.077,3.0,15.0,3.2,0.78,9.6,0
wine_quality_iter10,117,9.2,0.31,0.36,2.2,0.079,11.0,31.0,3.33,0.86,12.0,1
wine_quality_iter10,118,9.0,0.58,0.25,2.0,0.104,8.0,21.0,3.27,0.72,9.6,0
wine_quality_iter10,119,7.2,0.67,0.0,2.2,0.068,10.0,24.0,3.42,0.72,11.1,0
wine_quality_iter10,120,7.7,0.63,0.08,1.9,0.076,15.0,27.0,3.32,0.54,9.5,0
wine_quality_iter10,121,7.4,0.68,0.16,1.8,0.078,12.0,39.0,3.5,0.7,9.9,0
