y,v0,v1,v2,v3,v4,a0,a1,a2,a3,a4
1,0.42,12.0,3.35,0.69,11.7,0.02058792108908680,0.013935839742040100,-0.009943269356512130,0.0003830578264135550,0.08950670962723410
0,0.605,25.0,3.56,0.55,12.9,-0.05221462443279910,0.008269250344198470,-0.04048818412499550,-0.03552562573017210,0.20447912215135800
1,0.41,41.0,3.02,0.76,9.9,0.02859879414527080,0.00361036291011637,0.059910210112157500,0.018934303331069500,-0.08796984898642840
1,0.3,19.0,3.31,0.88,10.5,0.07106245848326340,0.007138265807850230,-0.0002454607389294480,0.04322340560074040,-0.037257340392814200
0,0.5,26.0,3.36,0.45,9.5,-0.012701734467767700,0.010240268509548400,-0.011146383877748100,-0.04900368402592650,-0.13051036075903800
0,0.71,35.0,3.47,0.55,9.4,-0.0862374788732865,0.003836966343224000,-0.030377609235927100,-0.023210544020701700,-0.13344867652234300
0,0.58,69.0,3.32,0.7,11.0,-0.05381715401720540,-0.011964379560488900,-0.0020351275457785200,0.002578014203180120,0.014001973303846800
1,0.43,52.0,3.22,0.64,10.0,0.019427019473260800,-0.0027959701858270000,0.024263898150470000,-0.011863072100931300,-0.0876815786241338
1,0.33,22.0,3.26,0.74,11.2,0.06148442532867200,0.009776879278704100,0.014022195195922500,0.013132128124244800,0.03919524026509280
0,0.49,85.0,3.41,0.58,9.0,-0.009002350719693330,-0.022592330857729400,-0.024484676633698800,-0.021921009025894700,-0.17835946268855700
1,0.52,49.0,3.34,0.86,10.6,-0.024595602106016400,-0.0019693891025888900,-0.007655030337090630,0.03892514979228000,-0.030593287544563800
0,0.26,27.0,3.21,0.8,9.4,0.08408652087339220,0.007318236864148060,0.027630309425294400,0.02564704799690310,-0.1426948212239990
0,0.83,25.0,3.38,0.45,9.6,-0.1278597925125790,0.010903419092870700,-0.012135005262799900,-0.038813386511726300,-0.1011538790042200
0,0.69,21.0,3.38,0.6,11.3,-0.09884843218976090,0.012504829569504900,-0.009958178537587360,-0.019010964806836400,0.044395244492170100
1,0.41,20.0,3.34,0.79,12.2,0.02489440516115,0.010212556965267100,-0.006208078701717770,0.026665373242054300,0.14182202360855500
1,0.615,42.0,3.07,0.73,10.0,-0.07585956861766480,0.0018412965029859900,0.04287001884518520,0.010840929184013400,-0.0803326295507259
1,0.48,54.0,3.3,0.65,10.0,-0.005248826576922180,-0.005240007305565610,0.0025040265296895900,-0.00959604757623034,-0.09083410738561380
0,0.67,62.0,3.26,0.56,10.2,-0.09231538979384370,-0.007950522712407990,0.007601586800928350,-0.028451983955426200,-0.06599931431313350
0,0.42,48.0,3.21,0.59,10.0,0.02385975574262620,-0.00019335562888624100,0.026001212435464000,-0.024427987358126900,-0.08581071400489550
0,0.39,21.0,3.39,0.66,11.6,0.0312701784465939,0.010924835972105900,-0.02183373912309220,-0.006999669027252060,0.0802250328745979
0,0.69,27.0,3.26,0.61,9.1,-0.09073131085301820,0.010168449691472800,0.00857812769519975,-0.01604738216274060,-0.15196659693351100
1,0.3,24.0,3.27,0.64,12.1,0.06458915558763030,0.007911617182768480,0.009662871901423570,-0.013543775125573800,0.12138246812499500
0,0.5,22.0,3.25,0.63,9.2,-0.01440935027618440,0.012728076555216900,0.013391589304575500,-0.014363288269975300,-0.1572542932381230
0,0.66,23.0,3.61,0.96,9.9,-0.07413842276120800,0.01054890735409200,-0.06970872515287150,0.05360142923222890,-0.09943813814089080
0,0.645,18.0,3.4,0.55,9.6,-0.06911543375215460,0.014086955536443500,-0.01728398016725600,-0.027661344323976000,-0.12085608589821100
1,0.685,43.0,2.95,0.68,11.2,-0.11534372038566100,0.0013557919363180900,0.019111155789249900,-0.002533908050793910,0.025346058047352600
0,0.53,44.0,3.38,0.83,10.3,-0.027740250467680900,-0.0011233910029897800,-0.018845542474434900,0.02992359703836530,-0.06363100452205300
1,0.4,19.0,3.27,0.82,11.7,0.03274872504747830,0.010349102625862100,0.010733368407266400,0.03288620427346390,0.09154979603985940
0,0.63,38.0,3.37,0.58,9.0,-0.060338557263215400,0.0022058639675378600,-0.012289836902458000,-0.02059186583814720,-0.16854320818033000
0,0.29,30.0,3.41,0.53,9.5,0.06510586734670090,0.006611375901370450,-0.029341471325128500,-0.035503591297146700,-0.13395737404433600
0,0.38,84.0,3.32,0.7,9.6,0.03750519395065610,-0.019930624581682400,-0.0034694711768474700,0.0023932071288044500,-0.13151853516029200
0,0.59,22.0,3.0,0.7,9.3,-0.0564904470493396,0.014576045894661000,0.05423704567054910,0.0030228649987242400,-0.1249700884903090
0,0.5,102.0,3.35,0.8,10.5,-0.014508205118278600,-0.023550592206227400,-0.009653440510424290,0.028441915087019700,-0.03986614187080890
1,0.57,27.0,3.57,0.84,12.5,-0.038320247620726100,0.00715694729620836,-0.053034125786179100,0.0339526386530353,0.17826246688763300
1,0.33,25.0,3.36,0.76,12.4,0.050098303519189400,0.0073587685489119800,-0.01149502994062800,0.01916912987064100,0.155571312825076
0,0.625,24.0,3.11,0.99,13.3,-0.07093611507557130,0.004181505520947430,0.008696628998105410,0.06501933983980850,0.20481622405445700
1,0.28,12.0,3.25,0.55,12.3,0.06743171480412660,0.0077368989758766200,0.011889782655888700,-0.040507109775566100,0.13010700155718200
1,0.66,59.0,3.37,0.71,11.5,-0.08784574190202420,-0.006713538370453410,-0.010371096238302800,0.005246605129960240,0.06772753141915940
1,0.28,21.0,2.98,0.66,9.9,0.08800201445340340,0.01205908571298310,0.06593515231250180,-0.006039256920608150,-0.08037941489082110
1,0.4,47.0,3.38,0.77,10.5,0.029386603155961300,-0.0017676504261982000,-0.022544633222696100,0.018698129489635800,-0.04045332980461610
1,0.52,56.0,3.15,0.79,12.1,-0.025198212720644700,-0.0016522092945300800,0.021534714865952000,0.027183533239250000,0.12523251878336400
0,0.81,85.0,3.19,0.42,9.2,-0.1260775667457630,-0.02471388919517780,0.01457860789715480,-0.04815126386781540,-0.12520633412572800
0,0.5,82.0,3.16,0.75,8.8,-0.015064173493629900,-0.022636719450163600,0.03235498871081140,0.013660171622267100,-0.1934322118911990
1,0.37,42.0,3.24,0.81,10.8,0.047275909550296900,0.002899291354876300,0.02034201533461990,0.030293662591049300,-0.0036972540425948600
1,0.59,16.0,3.42,0.92,10.5,-0.05305405105249240,0.013114756513864600,-0.025385604444413700,0.04749793958205430,-0.04186883520430470
0,0.42,18.0,3.29,0.61,9.2,0.019095991490743000,0.014907753454187000,0.004749380616614480,-0.01899595108647380,-0.1605229451717470
1,0.48,18.0,3.37,0.68,11.2,-0.004665001605947840,0.012576795703707600,-0.015025448966293700,-0.0018207735979022500,0.035823946942885700
0,0.52,69.0,2.74,2.0,9.4,-0.020280662629848800,-0.009193514814743590,0.047376636308737300,0.25851987795952000,-0.10359519675374000
1,0.28,12.0,3.26,0.62,12.4,0.06718247272551830,0.008221418281587310,0.010284710799654300,-0.018643670333310600,0.1407598234760840
1,0.12,21.0,3.41,0.76,11.9,0.11463853772634100,0.005966669324880990,-0.024415646642446500,0.018631661047156100,0.10428385888727800
0,0.31,36.0,3.41,0.56,12.6,0.052156399966050400,0.003810951244563650,-0.02299073615326330,-0.03455690906120400,0.1691178198731860
1,0.58,18.0,3.36,0.57,9.5,-0.04500429778049390,0.01473719655607760,-0.010286352904752300,-0.025518306642770800,-0.13210171690067400
0,0.43,74.0,3.26,0.54,9.9,0.016372321785833500,-0.01683522214396640,0.011920392695718900,-0.038705724739493500,-0.098351285443283
1,0.3,289.0,3.01,0.51,12.3,0.07385815032972740,-0.03760445802735210,0.03187052883685410,-0.04201895426863280,0.13461348763643200
0,0.4,24.0,3.04,0.6,9.3,0.0304430757434321,0.01175829345981280,0.0535789611964271,-0.023481973365713400,-0.13804125146797100
0,0.55,28.0,3.28,0.55,9.7,-0.03656813437835530,0.009127053718727290,0.006098404302237930,-0.030103825706128900,-0.11437512414577700
0,0.585,30.0,3.2,0.48,9.8,-0.05527198288207630,0.008092266523685220,0.016136017835293000,-0.04865355382554040,-0.0991197361424565
1,0.25,10.0,3.27,0.71,12.5,0.07372740459556750,0.007486623240969160,0.008114614482873670,0.0063862695735999200,0.14932909657748800
0,0.63,65.0,3.28,0.58,9.6,-0.0719296062518007,-0.011809284761548000,0.005014302083888120,-0.0222025721749434,-0.12229567517454800
1,0.52,35.0,3.38,0.62,9.5,-0.020988156847082700,0.00422733632417821,-0.017460595950102300,-0.014662689457719200,-0.13704255439150000
1,0.37,28.0,3.23,0.73,11.3,0.04698646326000120,0.008741026691710370,0.02161837550214470,0.011657117440914500,0.04985624497804110
1,0.27,18.0,3.2,1.13,12.0,0.07499025628543820,0.005135751326496850,0.01538306854092160,0.08463958608989530,0.10374994522677000
1,0.12,21.0,3.41,0.76,11.9,0.11463853772634100,0.005966669324880990,-0.024415646642446500,0.018631661047156100,0.10428385888727800
1,0.38,10.0,3.12,0.65,11.8,0.04435572839031620,0.010744379039567300,0.02796294089693290,-0.009600132494591770,0.08933085517336930
0,0.59,104.0,3.28,0.52,9.9,-0.05470570598943870,-0.03318828100672900,0.004632385066495490,-0.04087786112744840,-0.09587947455354230
1,0.37,19.0,3.17,0.81,11.2,0.04837050783233010,0.009775150724901590,0.03246319370869650,0.029032649128482900,0.03867888141614500
0,0.56,100.0,3.26,0.52,9.9,-0.042383855576507500,-0.03140944879597580,0.008012465440118850,-0.04234640615013160,-0.09642112816277980
0,0.44,24.0,3.06,0.66,13.4,0.01380258084489750,0.004576553279199710,0.013119061906368400,-0.006590612415128790,0.20406176741497600
0,0.38,119.0,3.2,0.56,9.4,0.03762897850324700,-0.041919783786512300,0.024642747199306100,-0.035030347578800700,-0.14495238411694000
0,0.59,71.0,3.31,0.71,9.8,-0.05710021763466870,-0.015632492922819600,-0.0007446321042685330,0.0037102322758008100,-0.11084695814511700
1,0.815,34.0,3.58,0.89,12.3,-0.14566223014528200,0.004744489909364670,-0.04487365558456910,0.0430043239366167,0.14923920074812100
1,0.21,10.0,3.23,0.58,11.1,0.09924198366606070,0.012325311839007500,0.020318169385576800,-0.02844209157599080,0.02764835606496310
0,0.82,48.0,3.2,0.58,9.8,-0.14794158193832000,-0.0013157047044772300,0.016953846788368000,-0.02289612384942870,-0.08955071193094440
1,0.3,9.0,3.14,0.57,11.5,0.07739790864002240,0.011646538482835700,0.032651693829550100,-0.03407073290111150,0.06202190289799220
1,0.27,10.0,3.25,1.08,9.9,0.07796045059672530,0.009321837664987720,0.015510936036514900,0.08611247706967290,-0.09128472184332510
0,0.725,79.0,3.29,0.54,9.2,-0.10026262941268800,-0.020920460484922000,0.0027297479554246900,-0.027053671951095300,-0.14325722389114200
0,0.785,98.0,3.16,0.52,9.5,-0.13231864663079800,-0.03237546851237620,0.017982227032383300,-0.036556920378636100,-0.1095690193352030
0,0.27,25.0,3.38,0.72,10.6,0.07942604189977430,0.007164293293578500,-0.021895153567385900,0.007425182446455340,-0.02645538249172460
1,0.47,89.0,3.54,0.88,13.6,0.0005123637167689380,-0.013524235490805000,-0.04069526530038080,0.04424574678716000,0.2705584793165320
1,0.28,10.0,3.33,0.7,12.8,0.060388199997445,0.007557870526917460,-0.0032256091892337000,0.0038259179049578700,0.17661105686942000
1,0.34,10.0,3.27,0.54,11.2,0.05355513153549950,0.01634367847098750,0.010257048808420400,-0.03876945005873070,0.037342938211483800
1,0.51,15.0,3.09,0.66,11.8,-0.021864447007194500,0.00840577897735138,0.018642042787411300,-0.007740633934736270,0.08727204496852850
1,0.395,10.0,3.27,0.64,12.2,0.03178300263789990,0.011208992264209700,0.008430512893276440,-0.013631482943892500,0.13141638474586700
1,0.915,23.0,3.35,0.65,10.2,-0.1783358594565050,0.011025948218810300,-0.007738609284353620,-0.008278081529797680,-0.05924038524715570
0,0.32,19.0,3.17,0.55,10.4,0.0698813500847572,0.014018234635392800,0.033828628288629700,-0.03520746973653630,-0.041634564086412700
1,0.28,32.0,3.15,0.67,10.6,0.08631572164881680,0.007198749380425050,0.0412090561787287,-0.0041006681600059800,-0.021614710162274300
0,0.53,31.0,3.5,0.67,11.0,-0.024788988897433600,0.005822734630260670,-0.046372857260016300,-0.003800510123181030,0.012588597905750500
1,0.585,86.0,3.56,0.94,12.9,-0.046038394847359300,-0.01387201111668200,-0.04539173255555140,0.059206280555480700,0.21870699080137100
0,0.41,54.0,3.42,1.16,10.6,0.027178419400484200,-0.0018438217015220200,-0.028389286397932500,0.11589132877878700,-0.026522244436618600
1,0.4,27.0,3.32,0.9,13.4,0.025387075979931200,0.005084336918707160,-0.001013099534007190,0.04350488066195690,0.2235219474662190
1,0.41,41.0,3.02,0.76,9.9,0.02859879414527080,0.00361036291011637,0.059910210112157500,0.018934303331069500,-0.08796984898642840
0,0.7,15.0,3.32,0.6,9.0,-0.08799789801239970,0.017994488129057900,-0.002635909485129150,-0.016789650011521200,-0.15656412270302200
0,0.43,128.0,3.42,0.71,10.5,0.015551395271069000,-0.03681678822980470,-0.029537530825115200,0.005012296757254810,-0.04022893309497680
1,0.24,27.0,3.14,0.59,11.3,0.09990906833456110,0.008252862760653870,0.03682975667887010,-0.0275723396480465,0.045721262307503200
1,0.4,29.0,3.28,0.49,11.3,0.029135845669378000,0.008181121435302930,0.006480757945623180,-0.055737424129859000,0.04480315268326270
1,0.32,17.0,3.33,0.78,11.0,0.06245878495753580,0.009650067987923420,-0.0059399353359372600,0.021646515211233700,0.016568587723259800
0,0.32,15.0,3.2,0.78,9.6,0.06194175017758810,0.012763358635398100,0.030168792449702000,0.020692408807957800,-0.12355478684680600
1,0.31,31.0,3.33,0.86,12.0,0.0634624857149827,0.006336654701676160,-0.0039235806159483900,0.04572758873112690,0.1211397129545610
0,0.58,21.0,3.27,0.72,9.6,-0.05205636778512060,0.01355754179163620,0.00794758045998143,0.0068493447920832400,-0.1229573984167130
0,0.67,24.0,3.42,0.72,11.1,-0.08718560343082890,0.009559606256393300,-0.021370373516319700,0.006331325152363520,0.022651329294611200
0,0.63,27.0,3.32,0.54,9.5,-0.06730023815559280,0.00911290731472077,-0.0022863962720983700,-0.03074358077098930,-0.12833426970701900
0,0.68,39.0,3.5,0.7,9.9,-0.0830748793673821,0.0010436577025132700,-0.040368626006902800,0.0017001592644895700,-0.10060432534473800
