appId,instanceId,v0,v1,v2,v3,v4,v5,v6,v7,y
wine_quality_iter8,47,9.9,0.4,6.7,0.0969999999999999,19.0,3.27,0.82,11.7,1
wine_quality_iter8,48,7.2,0.63,1.9,0.0969999999999999,38.0,3.37,0.58,9.0,0
wine_quality_iter8,49,7.4,0.29,1.7,0.062,30.0,3.41,0.53,9.5,0
wine_quality_iter8,50,7.5,0.38,2.6,0.073,84.0,3.32,0.7,9.6,0
wine_quality_iter8,51,12.7,0.59,2.3,0.0819999999999999,22.0,3.0,0.7,9.3,0
wine_quality_iter8,52,7.5,0.5,6.1,0.071,102.0,3.35,0.8,10.5,0
wine_quality_iter8,53,5.3,0.57,1.7,0.054,27.0,3.57,0.84,12.5,1
wine_quality_iter8,54,9.6,0.33,2.2,0.074,25.0,3.36,0.76,12.4,1
wine_quality_iter8,55,11.4,0.625,6.2,0.088,24.0,3.11,0.99,13.3,0
wine_quality_iter8,56,8.9,0.28,1.7,0.067,12.0,3.25,0.55,12.3,1
wine_quality_iter8,57,9.8,0.66,3.2,0.083,59.0,3.37,0.71,11.5,1
wine_quality_iter8,58,12.0,0.28,1.9,0.074,21.0,2.98,0.66,9.9,1
wine_quality_iter8,59,8.9,0.4,5.6,0.087,47.0,3.38,0.77,10.5,1
wine_quality_iter8,60,10.7,0.52,2.6,0.066,56.0,3.15,0.79,12.1,1
wine_quality_iter8,61,8.0,0.81,3.4,0.076,85.0,3.19,0.42,9.2,0
wine_quality_iter8,62,9.9,0.5,13.8,0.205,82.0,3.16,0.75,8.8,0
wine_quality_iter8,63,9.3,0.37,1.6,0.038,42.0,3.24,0.81,10.8,1
wine_quality_iter8,64,8.0,0.59,1.8,0.065,16.0,3.42,0.92,10.5,1
wine_quality_iter8,65,8.0,0.42,2.0,0.073,18.0,3.29,0.61,9.2,0
wine_quality_iter8,66,7.2,0.48,5.5,0.089,18.0,3.37,0.68,11.2,1
wine_quality_iter8,67,9.2,0.52,3.4,0.61,69.0,2.74,2.0,9.4,0
wine_quality_iter8,68,8.3,0.28,2.1,0.093,12.0,3.26,0.62,12.4,1
wine_quality_iter8,69,8.9,0.12,1.8,0.075,21.0,3.41,0.76,11.9,1
wine_quality_iter8,70,7.9,0.31,1.9,0.066,36.0,3.41,0.56,12.6,0
wine_quality_iter8,71,7.8,0.58,2.0,0.073,18.0,3.36,0.57,9.5,1
wine_quality_iter8,72,7.6,0.43,2.1,0.069,74.0,3.26,0.54,9.9,0
wine_quality_iter8,73,7.9,0.3,8.3,0.05,289.0,3.01,0.51,12.3,1
wine_quality_iter8,74,12.4,0.4,2.0,0.059,24.0,3.04,0.6,9.3,0
wine_quality_iter8,75,7.6,0.55,2.2,0.071,28.0,3.28,0.55,9.7,0
wine_quality_iter8,76,8.5,0.585,2.1,0.078,30.0,3.2,0.48,9.8,0
wine_quality_iter8,77,8.4,0.25,2.0,0.0409999999999999,10.0,3.27,0.71,12.5,1
wine_quality_iter8,78,9.2,0.63,2.7,0.0969999999999999,65.0,3.28,0.58,9.6,0
wine_quality_iter8,79,7.5,0.52,1.9,0.085,35.0,3.38,0.62,9.5,1
wine_quality_iter8,80,7.2,0.37,2.0,0.062,28.0,3.23,0.73,11.3,1
wine_quality_iter8,81,9.4,0.27,2.4,0.074,18.0,3.2,1.13,12.0,1
wine_quality_iter8,82,8.9,0.12,1.8,0.075,21.0,3.41,0.76,11.9,1
wine_quality_iter8,83,10.4,0.38,2.1,0.104,10.0,3.12,0.65,11.8,1
wine_quality_iter8,84,7.3,0.59,2.0,0.08,104.0,3.28,0.52,9.9,0
wine_quality_iter8,85,8.4,0.37,2.3,0.063,19.0,3.17,0.81,11.2,1
wine_quality_iter8,86,7.2,0.56,2.0,0.083,100.0,3.26,0.52,9.9,0
wine_quality_iter8,87,10.6,0.44,4.1,0.114,24.0,3.06,0.66,13.4,0
wine_quality_iter8,88,8.6,0.38,3.0,0.081,119.0,3.2,0.56,9.4,0
wine_quality_iter8,89,9.9,0.59,3.4,0.102,71.0,3.31,0.71,9.8,0
wine_quality_iter8,90,6.6,0.815,2.7,0.072,34.0,3.58,0.89,12.3,1
wine_quality_iter8,91,9.1,0.21,1.6,0.067,10.0,3.23,0.58,11.1,1
wine_quality_iter8,92,8.7,0.82,1.2,0.07,48.0,3.2,0.58,9.8,0
wine_quality_iter8,93,9.8,0.3,1.7,0.062,9.0,3.14,0.57,11.5,1
wine_quality_iter8,94,7.7,0.27,3.5,0.358,10.0,3.25,1.08,9.9,1
wine_quality_iter8,95,6.6,0.725,7.8,0.073,79.0,3.29,0.54,9.2,0
wine_quality_iter8,96,7.4,0.785,5.2,0.094,98.0,3.16,0.52,9.56666666666667,0
wine_quality_iter8,97,7.1,0.27,2.1,0.074,25.0,3.38,0.72,10.6,0
wine_quality_iter8,98,5.3,0.47,2.2,0.048,89.0,3.54,0.88,13.6,1
wine_quality_iter8,99,8.2,0.28,2.4,0.052,10.0,3.33,0.7,12.8,1
wine_quality_iter8,100,7.9,0.34,1.9,0.065,10.0,3.27,0.54,11.2,1
wine_quality_iter8,101,10.5,0.51,2.4,0.107,15.0,3.09,0.66,11.8,1
wine_quality_iter8,102,9.4,0.395,4.6,0.094,10.0,3.27,0.64,12.2,1
wine_quality_iter8,103,7.7,0.915,2.2,0.143,23.0,3.35,0.65,10.2,1
wine_quality_iter8,104,8.9,0.32,2.0,0.088,19.0,3.17,0.55,10.4,0
wine_quality_iter8,105,11.7,0.28,1.7,0.054,32.0,3.15,0.67,10.6,1
wine_quality_iter8,106,6.4,0.53,3.9,0.123,31.0,3.5,0.67,11.0,0
wine_quality_iter8,107,5.1,0.585,1.7,0.044,86.0,3.56,0.94,12.9,1
wine_quality_iter8,108,6.7,0.41,2.8,0.076,54.0,3.42,1.16,10.6,0
wine_quality_iter8,109,8.9,0.4,2.6,0.052,27.0,3.32,0.9,13.4,1
wine_quality_iter8,110,11.6,0.41,1.5,0.095,41.0,3.02,0.76,9.9,1
wine_quality_iter8,111,8.7,0.7,2.5,0.226,15.0,3.32,0.6,9.0,0
wine_quality_iter8,112,7.1,0.43,5.5,0.071,128.0,3.42,0.71,10.5,0
wine_quality_iter8,113,8.8,0.24,1.7,0.055,27.0,3.14,0.59,11.3,1
wine_quality_iter8,114,7.0,0.4,3.6,0.061,29.0,3.28,0.49,11.3,1
wine_quality_iter8,115,7.8,0.32,2.7,0.104,17.0,3.33,0.78,11.0,1
wine_quality_iter8,116,10.0,0.32,2.2,0.077,15.0,3.2,0.78,9.6,0
wine_quality_iter8,117,9.2,0.31,2.2,0.079,31.0,3.33,0.86,12.0,1
wine_quality_iter8,118,9.0,0.58,2.0,0.104,21.0,3.27,0.72,9.6,0
wine_quality_iter8,119,7.2,0.67,2.2,0.068,24.0,3.42,0.72,11.1,0
wine_quality_iter8,120,7.7,0.63,1.9,0.076,27.0,3.32,0.54,9.5,0
wine_quality_iter8,121,7.4,0.68,1.8,0.078,39.0,3.5,0.7,9.9,0
