Participant Id,Condition,Model,AppId,Complexity,Phase,Trial Index,Instance Id,XAIType,Tested w/ XAI,Time,Log(time),Response,AI prediction,DT prediction,LR prediction,Explainer prediction,Response==AI,Response==DT,Response==LR,Response==Explainer,Changed feature index,Changed feature name,Changed feature type,Changed from,Changed to,Changed amount,Changed amount (normalized),Absolute changed amount (normalized),DT prediction (CF),LR prediction (CF),AI prediction (CF),Changed prediction (DT),Changed prediction (LR),Changed explainer,Changed AI prediction,AI distance to boundary,Condition:Complexity,Factor Recall Accuracy,DT Overall Recall Accuracy,Combined Failure,Mean(Response==AI),Mean(changed AI prediction),Median time,Time and Performance < 20th percentile,Time < k percentile
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,forward,12,115,DT,w/ XAI,5.841,1.7649020151,-100,1,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,0.40999848,DT:high,,0.0714285714,False,0.425,0.8461538462,7.251,1,0
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,forward,13,26,DT,w/o XAI,5.454,1.6963492844,-80,1,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,0.47722238,DT:high,,0.0714285714,False,0.425,0.8461538462,7.251,1,0
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,forward,14,215,DT,w/ XAI,5.653,1.7321863777,-100,1,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,0.30407298,DT:high,,0.0714285714,False,0.425,0.8461538462,7.251,1,0
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,forward,15,294,DT,w/o XAI,6.371,1.8517564431,-100,0,0,0,0,1,1,1,1,,,,,,,,,,,,,,,,0.20980674,DT:high,,0.0714285714,False,0.425,0.8461538462,7.251,1,0
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,forward,16,83,DT,w/o XAI,4.794,1.567365136,-100,0,0,0,0,1,1,1,1,,,,,,,,,,,,,,,,0.38776195,DT:high,,0.0714285714,False,0.425,0.8461538462,7.251,1,0
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,forward,17,232,DT,w/ XAI,5.179,1.6446119874,100,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,0.48284656,DT:high,,0.0714285714,False,0.425,0.8461538462,7.251,1,0
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,forward,18,123,DT,w/ XAI,4.482,1.5000693754,100,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,0.45587993,DT:high,,0.0714285714,False,0.425,0.8461538462,7.251,1,0
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,forward,19,332,DT,w/ XAI,7.649,2.0345749203,100,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,0.30809593,DT:high,,0.0714285714,False,0.425,0.8461538462,7.251,1,0
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,forward,20,109,DT,w/o XAI,5.045,1.6183976538,-100,0,0,0,0,1,1,1,1,,,,,,,,,,,,,,,,0.39520043,DT:high,,0.0714285714,False,0.425,0.8461538462,7.251,1,0
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,forward,21,16,DT,w/o XAI,4.771,1.5625559265,-100,0,0,0,0,1,1,1,1,,,,,,,,,,,,,,,,0.34858948,DT:high,,0.0714285714,False,0.425,0.8461538462,7.251,1,0
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,forward,22,168,DT,w/ XAI,4.538,1.5124863864,100,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.48882896,DT:high,,0.0714285714,False,0.425,0.8461538462,7.251,1,0
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,forward,23,203,DT,w/ XAI,4.483,1.5002924652,100,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.22833353,DT:high,,0.0714285714,False,0.425,0.8461538462,7.251,1,0
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,forward,24,366,DT,w/ XAI,5.491,1.7031103883,100,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.46848565,DT:high,,0.0714285714,False,0.425,0.8461538462,7.251,1,0
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,forward,25,213,DT,w/ XAI,4.979,1.6052290677,100,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.49771047,DT:high,,0.0714285714,False,0.425,0.8461538462,7.251,1,0
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,forward,26,187,DT,w/ XAI,5.404,1.6871394201,100,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,0.44944578,DT:high,,0.0714285714,False,0.425,0.8461538462,7.251,1,0
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,forward,27,378,DT,w/ XAI,4.502,1.5045217425,100,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.35083675,DT:high,,0.0714285714,False,0.425,0.8461538462,7.251,1,0
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,forward,28,126,DT,w/ XAI,3.844,1.3465134911,100,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.27122837,DT:high,,0.0714285714,False,0.425,0.8461538462,7.251,1,0
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,forward,29,339,DT,w/ XAI,6.443,1.8629942702,-100,0,0,0,0,1,1,1,1,,,,,,,,,,,,,,,,0.3715608,DT:high,,0.0714285714,False,0.425,0.8461538462,7.251,1,0
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,forward,30,253,DT,w/o XAI,5.11,1.6311994042,-100,0,0,0,0,1,1,1,1,,,,,,,,,,,,,,,,0.49274832,DT:high,,0.0714285714,False,0.425,0.8461538462,7.251,1,0
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,forward,31,369,DT,w/ XAI,5.334,1.6741014258,100,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,0.32645148,DT:high,,0.0714285714,False,0.425,0.8461538462,7.251,1,0
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,forward,32,23,DT,w/ XAI,4.975,1.6044253706,100,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.47488678,DT:high,,0.0714285714,False,0.425,0.8461538462,7.251,1,0
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,forward,33,95,DT,w/ XAI,7.212,1.9757463053,-100,1,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,0.45882177,DT:high,,0.0714285714,False,0.425,0.8461538462,7.251,1,0
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,forward,34,284,DT,w/o XAI,6.81,1.9183921202,-100,0,0,0,0,1,1,1,1,,,,,,,,,,,,,,,,0.4672134,DT:high,,0.0714285714,False,0.425,0.8461538462,7.251,1,0
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,forward,35,274,DT,w/ XAI,5.266,1.6612710611,100,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.24001968,DT:high,,0.0714285714,False,0.425,0.8461538462,7.251,1,0
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,forward,36,347,DT,w/ XAI,4.677,1.5426568787,80,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,0.12986964,DT:high,,0.0714285714,False,0.425,0.8461538462,7.251,1,0
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,forward,37,237,DT,w/o XAI,6.149,1.816289467,-60,1,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,0.44461602,DT:high,,0.0714285714,False,0.425,0.8461538462,7.251,1,0
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,forward,38,354,DT,w/o XAI,6.449,1.86392508,-100,1,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,0.26935226,DT:high,,0.0714285714,False,0.425,0.8461538462,7.251,1,0
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,forward,39,47,DT,w/o XAI,5.401,1.6865841216,-100,1,0,1,0,0,1,0,1,,,,,,,,,,,,,,,,0.06830722,DT:high,,0.0714285714,False,0.425,0.8461538462,7.251,1,0
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,forward,40,267,DT,w/ XAI,4.156,1.4245530732,100,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,0.4448464,DT:high,,0.0714285714,False,0.425,0.8461538462,7.251,1,0
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,counterfactual,1,121,DT,w/ XAI,35.822,3.5785622298,,1,1,1,1,,,,,,,,,,,,,,,,,,,,0.46470147,DT:high,,0.0714285714,False,0.425,0.8461538462,7.251,1,0
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,counterfactual,2,386,DT,w/o XAI,12.333,2.5122785966,,0,0,0,0,,,,,0,Alcohol,numeric,9.5,11,1.5,0.3846153846,0.3846153846,1,1,1,1,1,1,0,0.3646266,DT:high,,0.0714285714,False,0.425,0.8461538462,7.251,1,0
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,counterfactual,3,103,DT,w/o XAI,23.279,3.1475516666,,0,0,0,0,,,,,2,SO2,numeric,110,59,-51,-0.404761905,0.4047619048,0,0,0,0,0,0,1,0.4863556,DT:high,,0.0714285714,False,0.425,0.8461538462,7.251,1,0
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,counterfactual,4,91,DT,w/o XAI,9.757,2.2779849761,,1,1,1,1,,,,,5,Chlorides,numeric,0.063,0.16,0.097,0.5418994413,0.5418994413,1,1,1,0,0,0,1,0.46757853,DT:high,,0.0714285714,False,0.425,0.8461538462,7.251,1,0
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,counterfactual,5,13,DT,w/ XAI,17.797,2.8790299038,,0,0,0,0,,,,,2,SO2,numeric,92,39,-53,-0.420634921,0.4206349206,0,0,0,0,0,0,1,0.46717495,DT:high,,0.0714285714,False,0.425,0.8461538462,7.251,1,0
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,counterfactual,6,87,DT,w/o XAI,6.577,1.8835787143,,0,1,0,1,,,,,5,Chlorides,numeric,0.093,0.2,0.107,0.5977653631,0.5977653631,1,0,0,1,0,1,1,0.18139344,DT:high,,0.0714285714,False,0.425,0.8461538462,7.251,1,0
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,counterfactual,7,230,DT,w/ XAI,5.997,1.7912593442,,0,0,0,0,,,,,0,Alcohol,numeric,11,9.9,-1.1,-0.282051282,0.2820512821,0,0,0,0,0,0,1,0.2256515,DT:high,,0.0714285714,False,0.425,0.8461538462,7.251,1,0
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,counterfactual,8,387,DT,w/o XAI,9.544,2.2559126848,,0,0,0,0,,,,,1,Sulphates,numeric,0.58,0.74,0.16,0.231884058,0.231884058,0,0,0,0,0,0,1,0.42407197,DT:high,,0.0714285714,False,0.425,0.8461538462,7.251,1,0
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,counterfactual,9,383,DT,w/o XAI,8.687,2.1618276553,,1,1,1,1,,,,,0,Alcohol,numeric,11,13,2,0.5128205128,0.5128205128,1,1,1,0,0,0,1,0.1859532,DT:high,,0.0714285714,False,0.425,0.8461538462,7.251,1,0
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,counterfactual,10,381,DT,w/o XAI,12.191,2.5006979746,,1,1,1,1,,,,,4,pH,numeric,3.4,3.2,-0.2,-0.303030303,0.303030303,1,1,1,0,0,0,1,0.32775253,DT:high,,0.0714285714,False,0.425,0.8461538462,7.251,1,0
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,counterfactual,11,352,DT,w/o XAI,8.435,2.132389716,,1,1,1,1,,,,,5,Chlorides,numeric,0.074,0.18,0.106,0.5921787709,0.5921787709,1,1,0,0,0,0,0,0.32775253,DT:high,,0.0714285714,False,0.425,0.8461538462,7.251,1,0
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,counterfactual,12,21,DT,w/o XAI,10.492,2.350613062,,0,0,0,0,,,,,2,SO2,numeric,140,29,-111,-0.880952381,0.880952381,0,0,0,0,0,0,1,0.49360752,DT:high,,0.0714285714,False,0.425,0.8461538462,7.251,1,0
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,counterfactual,13,193,DT,w/o XAI,8.683,2.1613670911,,0,0,0,0,,,,,1,Sulphates,numeric,0.59,0.74,0.15,0.2173913043,0.2173913043,0,0,0,0,0,0,1,0.2561186,DT:high,,0.0714285714,False,0.425,0.8461538462,7.251,1,0
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,counterfactual,14,196,DT,w/ XAI,7.29,1.986503546,,1,1,1,1,,,,,0,Alcohol,numeric,12,10,-2,-0.512820513,0.5128205128,1,1,1,0,0,0,1,0.45137602,DT:high,,0.0714285714,False,0.425,0.8461538462,7.251,1,0
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,counterfactual,15,336,DT,w/o XAI,11.034,2.4009814149,,1,1,1,1,,,,,2,SO2,numeric,15,99,84,0.6666666667,0.6666666667,1,1,1,0,0,0,1,0.48319697,DT:high,,0.0714285714,False,0.425,0.8461538462,7.251,1,0
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,counterfactual,16,342,DT,w/o XAI,6.577,1.8835787143,,1,0,1,0,,,,,0,Alcohol,numeric,9.9,11,1.1,0.2820512821,0.2820512821,1,1,1,0,0,0,1,0.074326634,DT:high,,0.0714285714,False,0.425,0.8461538462,7.251,1,0
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,counterfactual,17,398,DT,w/ XAI,41.205,3.7185596082,,0,0,0,0,,,,,5,Chlorides,numeric,0.092,0.11,0.018,0.1005586592,0.1005586592,0,0,0,0,0,0,1,0.44998318,DT:high,,0.0714285714,False,0.425,0.8461538462,7.251,1,0
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,counterfactual,18,257,DT,w/ XAI,8.38,2.1258479145,,0,0,0,0,,,,,1,Sulphates,numeric,0.51,1,0.49,0.7101449275,0.7101449275,0,0,0,0,0,0,1,0.49441612,DT:high,,0.0714285714,False,0.425,0.8461538462,7.251,1,0
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,counterfactual,19,27,DT,w/o XAI,4.562,1.5177611239,,1,0,1,0,,,,,3,Vinegar Taint,numeric,0.28,0.76,0.48,0.6571741512,0.6571741512,0,0,0,1,1,1,0,0.33451504,DT:high,,0.0714285714,False,0.425,0.8461538462,7.251,1,0
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,counterfactual,20,275,DT,w/o XAI,8.147,2.0976497613,,1,1,1,1,,,,,5,Chlorides,numeric,0.052,0.22,0.168,0.938547486,0.938547486,1,1,0,0,0,0,0,0.42605674,DT:high,,0.0714285714,False,0.425,0.8461538462,7.251,1,0
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,counterfactual,21,99,DT,w/o XAI,22.628,3.1191880775,,1,1,1,1,,,,,0,Alcohol,numeric,11,10,-1,-0.256410256,0.2564102564,0,0,0,1,1,1,0,0.18869013,DT:high,,0.0714285714,False,0.425,0.8461538462,7.251,1,0
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,counterfactual,22,9,DT,w/ XAI,6.772,1.9127964643,,1,1,1,1,,,,,1,Sulphates,numeric,0.75,0.74,-0.01,-0.014492754,0.0144927536,1,1,1,0,0,0,1,0.25105882,DT:high,,0.0714285714,False,0.425,0.8461538462,7.251,1,0
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,counterfactual,23,90,DT,w/o XAI,23.102,3.1399191939,,1,1,1,1,,,,,3,Vinegar Taint,numeric,0.31,0.33,0.02,0.0273822563,0.0273822563,1,1,1,0,0,0,1,0.29958534,DT:high,,0.0714285714,False,0.425,0.8461538462,7.251,1,0
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,counterfactual,24,376,DT,w/ XAI,9.293,2.2292614286,,1,0,1,0,,,,,2,SO2,numeric,100,89,-11,-0.087301587,0.0873015873,0,1,1,1,0,1,1,0.33451504,DT:high,,0.0714285714,False,0.425,0.8461538462,7.251,1,0
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,counterfactual,25,393,DT,w/o XAI,10.043,2.3068758744,,0,0,1,0,,,,,0,Alcohol,numeric,12,11,-1,-0.256410256,0.2564102564,0,0,0,0,0,0,1,0.018413723,DT:high,,0.0714285714,False,0.425,0.8461538462,7.251,1,0
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,counterfactual,26,322,DT,w/ XAI,17.147,2.8418232312,,0,0,0,0,,,,,4,pH,numeric,3.4,3.3,-0.1,-0.151515152,0.1515151515,0,0,0,0,0,0,1,0.30070162,DT:high,,0.0714285714,False,0.425,0.8461538462,7.251,1,0
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,counterfactual,27,197,DT,w/ XAI,12.038,2.4880683131,,0,0,0,0,,,,,0,Alcohol,numeric,9.1,9,-0.1,-0.025641026,0.0256410256,0,0,0,0,0,0,1,0.49953318,DT:high,,0.0714285714,False,0.425,0.8461538462,7.251,1,0
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,counterfactual,28,6,DT,w/o XAI,7.57,2.0241930674,,0,0,0,0,,,,,4,pH,numeric,3.3,3.2,-0.1,-0.151515152,0.1515151515,0,0,0,0,0,0,1,0.32486337,DT:high,,0.0714285714,False,0.425,0.8461538462,7.251,1,0
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,counterfactual,29,320,DT,w/o XAI,7.57,2.0241930674,,1,1,1,1,,,,,4,pH,numeric,3.3,3.2,-0.1,-0.151515152,0.1515151515,1,1,1,0,0,0,1,0.47279638,DT:high,,0.0714285714,False,0.425,0.8461538462,7.251,1,0
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,counterfactual,30,293,DT,w/ XAI,24.086,3.1816307588,,1,0,1,0,,,,,1,Sulphates,numeric,0.49,0.5,0.01,0.0144927536,0.0144927536,0,1,1,1,0,1,1,0.3183183,DT:high,,0.0714285714,False,0.425,0.8461538462,7.251,1,0
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,counterfactual,31,289,DT,w/o XAI,10.115,2.3140194706,,1,1,1,1,,,,,3,Vinegar Taint,numeric,0.37,0.38,0.01,0.0136911281,0.0136911281,1,1,1,0,0,0,1,0.47001082,DT:high,,0.0714285714,False,0.425,0.8461538462,7.251,1,0
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,counterfactual,32,7,DT,w/o XAI,7.629,2.0319567751,,1,1,1,1,,,,,1,Sulphates,numeric,0.88,0.89,0.01,0.0144927536,0.0144927536,1,1,1,0,0,0,1,0.485797,DT:high,,0.0714285714,False,0.425,0.8461538462,7.251,1,0
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,counterfactual,33,271,DT,w/o XAI,9.355,2.2359109597,,0,0,0,0,,,,,0,Alcohol,numeric,11,12,1,0.2564102564,0.2564102564,0,0,0,0,0,0,1,0.49441612,DT:high,,0.0714285714,False,0.425,0.8461538462,7.251,1,0
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,counterfactual,34,62,DT,w/o XAI,14.078,2.6446132952,,0,0,0,0,,,,,4,pH,numeric,3.3,3.4,0.1,0.1515151515,0.1515151515,0,0,0,0,0,0,1,0.296925,DT:high,,0.0714285714,False,0.425,0.8461538462,7.251,1,0
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,counterfactual,35,343,DT,w/o XAI,11.553,2.4469451435,,1,1,1,1,,,,,3,Vinegar Taint,numeric,0.28,0.29,0.01,0.0136911281,0.0136911281,1,1,0,0,0,0,0,-0.18189138,DT:high,,0.0714285714,False,0.425,0.8461538462,7.251,1,0
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,counterfactual,36,120,DT,w/o XAI,9.002,2.1974467749,,1,1,1,1,,,,,5,Chlorides,numeric,0.062,0.067,0.005,0.0279329609,0.0279329609,1,1,1,0,0,0,1,0.46066815,DT:high,,0.0714285714,False,0.425,0.8461538462,7.251,1,0
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,counterfactual,37,100,DT,w/ XAI,7.163,1.9689288876,,1,0,1,0,,,,,0,Alcohol,numeric,12,11,-1,-0.256410256,0.2564102564,0,0,1,1,1,1,1,0.24907088,DT:high,,0.0714285714,False,0.425,0.8461538462,7.251,1,0
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,counterfactual,38,220,DT,w/ XAI,7.297,1.9874633048,,0,0,0,0,,,,,3,Vinegar Taint,numeric,0.63,0.62,-0.01,-0.013691128,0.0136911281,0,0,0,0,0,0,1,0.4278593,DT:high,,0.0714285714,False,0.425,0.8461538462,7.251,1,0
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,counterfactual,39,174,DT,w/o XAI,10.039,2.3064775077,,0,0,0,0,,,,,4,pH,numeric,3.4,3.3,-0.1,-0.151515152,0.1515151515,0,0,0,0,0,0,1,0.13741517,DT:high,,0.0714285714,False,0.425,0.8461538462,7.251,1,0
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,counterfactual,40,63,DT,w/o XAI,6.366,1.8509713289,,1,1,1,1,,,,,1,Sulphates,numeric,0.72,0.6,-0.12,-0.173913043,0.1739130435,1,1,1,0,0,0,1,0.34489727,DT:high,,0.0714285714,False,0.425,0.8461538462,7.251,1,0
6782b152b9f7ae9d753eebea,DT,mlp,wine_quality,high,forward,1,326,DT,w/o XAI,7.984,2.077439539,40,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,0.41523683,DT:high,,0.7857142857,False,0.7,0.55,7.4425,0,0
6782b152b9f7ae9d753eebea,DT,mlp,wine_quality,high,forward,2,44,DT,w/o XAI,2.46,0.9001613499,20,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,0.34148192,DT:high,,0.7857142857,False,0.7,0.55,7.4425,0,0
6782b152b9f7ae9d753eebea,DT,mlp,wine_quality,high,forward,3,46,DT,w/o XAI,5.254,1.6589896913,-20,0,0,0,0,1,1,1,1,,,,,,,,,,,,,,,,0.17104846,DT:high,,0.7857142857,False,0.7,0.55,7.4425,0,0
6782b152b9f7ae9d753eebea,DT,mlp,wine_quality,high,forward,4,98,DT,w/ XAI,90.539,4.5057806971,100,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,0.47977668,DT:high,,0.7857142857,False,0.7,0.55,7.4425,0,0
6782b152b9f7ae9d753eebea,DT,mlp,wine_quality,high,forward,5,45,DT,w/ XAI,31.062,3.4359852071,-100,1,0,1,0,0,1,0,1,,,,,,,,,,,,,,,,0.15032274,DT:high,,0.7857142857,False,0.7,0.55,7.4425,0,0
6782b152b9f7ae9d753eebea,DT,mlp,wine_quality,high,forward,6,58,DT,w/o XAI,9.911,2.2936452514,40,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,0.3790456,DT:high,,0.7857142857,False,0.7,0.55,7.4425,0,0
6782b152b9f7ae9d753eebea,DT,mlp,wine_quality,high,forward,7,119,DT,w/o XAI,10.373,2.3392062764,20,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.04829991,DT:high,,0.7857142857,False,0.7,0.55,7.4425,0,0
6782b152b9f7ae9d753eebea,DT,mlp,wine_quality,high,forward,8,55,DT,w/ XAI,21.556,3.0706542001,100,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,0.4553061,DT:high,,0.7857142857,False,0.7,0.55,7.4425,0,0
6782b152b9f7ae9d753eebea,DT,mlp,wine_quality,high,forward,9,221,DT,w/o XAI,13.222,2.5818821089,40,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.45795614,DT:high,,0.7857142857,False,0.7,0.55,7.4425,0,0
6782b152b9f7ae9d753eebea,DT,mlp,wine_quality,high,forward,10,296,DT,w/ XAI,17.103,2.8392538867,100,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,0.46760947,DT:high,,0.7857142857,False,0.7,0.55,7.4425,0,0
6782b152b9f7ae9d753eebea,DT,mlp,wine_quality,high,forward,11,96,DT,w/o XAI,11.039,2.401434457,20,0,0,1,0,0,0,1,0,,,,,,,,,,,,,,,,0.028212309,DT:high,,0.7857142857,False,0.7,0.55,7.4425,0,0
