Participant Id,AppId,Model,Complexity,Variant,Strategy,total,respNLL,timeMAE,T_enc,T_op,latency_factor,lapse,retrieval_threshold,ddm_a,ddm_s,compute_sf,objective,optimizer,n_evals
65103037afb54bea65fe2564,wine_quality,mlp,high,dense,calculation,29.556,26.822,13.666,0.500,2.000,1.000,0.050,1.500,1.500,0.840,2,29.266,GP(skopt),50
65103037afb54bea65fe2564,wine_quality,mlp,high,dense,heuristic,25.399,24.571,4.140,0.500,2.000,1.000,0.050,-2.000,1.500,1.500,2,25.488,GP(skopt),50
67e089199b2161a43c738b97,wine_quality,mlp,low,sparse,calculation,29.463,28.166,6.482,0.500,2.000,1.000,0.050,-2.000,1.000,1.500,2,29.455,GP(skopt),50
67e089199b2161a43c738b97,wine_quality,mlp,low,sparse,heuristic,27.133,25.727,7.026,2.211,2.000,1.000,0.050,-1.556,1.335,0.733,2,24.440,GP(skopt),50
6738e3c0b433f261dc46a599,wine_quality,mlp,high,dense,calculation,25.702,24.484,6.090,0.500,2.000,1.000,0.050,1.006,1.500,0.847,2,25.692,GP(skopt),50
6738e3c0b433f261dc46a599,wine_quality,mlp,high,dense,heuristic,27.488,26.867,3.105,1.440,2.000,1.000,0.050,-1.159,1.028,1.479,2,27.145,GP(skopt),50
5f4dc39ffc6fe9aa6901cc6d,wine_quality,mlp,low,sparse,calculation,23.969,21.961,10.040,0.500,2.000,1.000,0.050,1.500,1.000,0.386,2,24.009,GP(skopt),50
5f4dc39ffc6fe9aa6901cc6d,wine_quality,mlp,low,sparse,heuristic,25.643,25.129,2.570,0.500,2.000,1.000,0.050,1.500,1.000,1.404,2,25.711,GP(skopt),50
6642c815164a312adcec0e2d,wine_quality,mlp,low,sparse,calculation,27.824,26.619,6.022,0.500,2.000,1.000,0.050,1.500,1.126,0.860,2,27.046,GP(skopt),50
6642c815164a312adcec0e2d,wine_quality,mlp,low,sparse,heuristic,24.369,23.753,3.077,1.299,2.000,1.000,0.050,-1.447,1.007,0.978,2,24.142,GP(skopt),50
67353f8cb327d43c7edd5baa,wine_quality,mlp,high,dense,calculation,23.456,20.767,13.443,0.500,2.000,1.000,0.050,-2.000,1.500,0.497,2,22.794,GP(skopt),50
67353f8cb327d43c7edd5baa,wine_quality,mlp,high,dense,heuristic,18.054,16.629,7.123,2.289,2.000,1.000,0.050,-1.426,1.050,0.619,2,17.762,GP(skopt),50
67803b1dd21b0478468e5f9d,wine_quality,mlp,low,sparse,calculation,28.011,27.278,3.663,0.500,2.000,1.000,0.050,-2.000,1.087,1.006,2,27.784,GP(skopt),50
67803b1dd21b0478468e5f9d,wine_quality,mlp,low,sparse,heuristic,30.047,29.497,2.749,0.859,2.000,1.000,0.050,0.063,1.000,1.500,2,29.455,GP(skopt),50
67e5f4dc9733153e1694ff53,wine_quality,mlp,high,dense,calculation,28.957,27.517,7.201,0.500,2.000,1.000,0.050,1.500,1.270,1.265,2,28.726,GP(skopt),50
67e5f4dc9733153e1694ff53,wine_quality,mlp,high,dense,heuristic,31.048,30.026,5.111,0.500,2.000,1.000,0.050,-1.076,1.000,1.500,2,30.780,GP(skopt),50
668d3b9862f5a356423ded45,wine_quality,mlp,high,dense,calculation,24.905,23.365,7.697,0.500,2.000,1.000,0.050,1.500,1.000,0.357,2,25.066,GP(skopt),50
668d3b9862f5a356423ded45,wine_quality,mlp,high,dense,heuristic,22.974,20.850,10.622,1.830,2.000,1.000,0.050,-0.199,1.500,0.288,2,21.887,GP(skopt),50
67d45c45d8d7e9d103a40dc3,wine_quality,mlp,high,dense,calculation,24.303,21.638,13.322,0.500,2.000,1.000,0.050,-1.356,1.000,0.502,2,24.221,GP(skopt),50
67d45c45d8d7e9d103a40dc3,wine_quality,mlp,high,dense,heuristic,23.155,22.350,4.025,1.353,2.000,1.000,0.050,-0.339,1.261,0.981,2,23.105,GP(skopt),50
671eb28f464b82787742da08,wine_quality,mlp,high,dense,calculation,29.335,28.011,6.619,0.515,2.000,1.000,0.050,1.495,1.500,1.141,2,28.622,GP(skopt),50
671eb28f464b82787742da08,wine_quality,mlp,high,dense,heuristic,29.254,28.733,2.605,0.866,2.000,1.000,0.050,-1.514,1.459,0.640,2,27.973,GP(skopt),50
6655f45c1e2ab295525736fb,wine_quality,mlp,high,dense,calculation,25.692,23.321,11.851,0.500,2.000,1.000,0.050,1.500,1.000,0.433,2,25.857,GP(skopt),50
6655f45c1e2ab295525736fb,wine_quality,mlp,high,dense,heuristic,25.236,24.590,3.230,0.500,2.000,1.000,0.050,-2.000,1.000,1.358,2,24.368,GP(skopt),50
66dad383980bc872c801ed55,wine_quality,mlp,high,dense,calculation,33.632,20.620,65.063,3.000,2.000,1.000,0.050,-1.442,1.500,0.508,2,32.698,GP(skopt),50
66dad383980bc872c801ed55,wine_quality,mlp,high,dense,heuristic,35.280,17.699,87.902,3.000,2.000,1.000,0.050,-1.312,1.422,0.200,2,35.307,GP(skopt),50
6679f68f014573f419db0b53,wine_quality,mlp,low,sparse,calculation,28.903,28.173,3.648,1.075,2.000,1.000,0.050,-0.300,1.032,1.500,2,28.943,GP(skopt),50
6679f68f014573f419db0b53,wine_quality,mlp,low,sparse,heuristic,28.005,26.460,7.723,0.500,2.000,1.000,0.050,1.500,1.251,0.200,2,26.688,GP(skopt),50
5fbb9d43846c1196282151be,wine_quality,mlp,high,dense,calculation,27.020,23.872,15.740,0.500,2.000,1.000,0.050,-1.525,1.000,0.593,2,26.447,GP(skopt),50
5fbb9d43846c1196282151be,wine_quality,mlp,high,dense,heuristic,17.912,16.605,6.535,0.571,2.000,1.000,0.050,-1.192,1.241,0.588,2,18.174,GP(skopt),50
67a7da329b788f778dcd961f,wine_quality,mlp,high,dense,calculation,29.550,27.059,12.452,0.500,2.000,1.000,0.050,0.941,1.500,1.302,2,29.137,GP(skopt),50
67a7da329b788f778dcd961f,wine_quality,mlp,high,dense,heuristic,24.000,23.233,3.830,0.500,2.000,1.000,0.050,-0.369,1.000,1.077,2,23.348,GP(skopt),50
67103fab90f232f5d3e1e2ae,wine_quality,mlp,low,sparse,calculation,27.987,26.483,7.521,3.000,2.000,1.000,0.050,-1.003,1.500,1.017,2,28.012,GP(skopt),50
67103fab90f232f5d3e1e2ae,wine_quality,mlp,low,sparse,heuristic,29.495,25.732,18.815,1.734,2.000,1.000,0.050,-0.534,1.020,1.169,2,29.216,GP(skopt),50
673674170c987b500401215f,wine_quality,mlp,high,dense,calculation,30.001,28.148,9.263,0.703,2.000,1.000,0.050,1.500,1.000,1.390,2,29.747,GP(skopt),50
673674170c987b500401215f,wine_quality,mlp,high,dense,heuristic,28.157,27.573,2.920,0.500,2.000,1.000,0.050,1.500,1.000,0.918,2,26.372,GP(skopt),50
673525996d41536f80921d6d,wine_quality,mlp,low,sparse,calculation,26.771,25.198,7.869,0.500,2.000,1.000,0.050,0.342,1.500,0.897,2,26.756,GP(skopt),50
673525996d41536f80921d6d,wine_quality,mlp,low,sparse,heuristic,31.141,29.572,7.844,1.881,2.000,1.000,0.050,-1.386,1.417,0.216,2,25.931,GP(skopt),50
6786d9e0328b728917b8eddb,wine_quality,mlp,low,sparse,calculation,28.563,27.425,5.690,0.500,2.000,1.000,0.050,1.500,1.000,1.093,2,28.428,GP(skopt),50
6786d9e0328b728917b8eddb,wine_quality,mlp,low,sparse,heuristic,30.409,30.133,1.379,0.500,2.000,1.000,0.050,-1.113,1.000,1.500,2,30.351,GP(skopt),50
66e3219ee1323f5b73c46de4,wine_quality,mlp,low,sparse,calculation,31.518,27.236,21.412,3.000,2.000,1.000,0.050,-2.000,1.500,1.123,2,31.431,GP(skopt),50
66e3219ee1323f5b73c46de4,wine_quality,mlp,low,sparse,heuristic,29.154,23.009,30.723,2.872,2.000,1.000,0.050,-0.594,1.500,0.200,2,27.423,GP(skopt),50
6604106e909295cd8beb5500,wine_quality,mlp,high,dense,calculation,18.289,15.479,14.050,3.000,2.000,1.000,0.050,-2.000,1.163,0.327,2,17.893,GP(skopt),50
6604106e909295cd8beb5500,wine_quality,mlp,high,dense,heuristic,21.810,16.008,29.012,3.000,2.000,1.000,0.050,-0.368,1.500,0.200,2,19.359,GP(skopt),50
67516c560c6e5099c1f9b277,wine_quality,mlp,low,sparse,calculation,28.452,27.113,6.693,0.500,2.000,1.000,0.050,-2.000,1.271,0.958,2,28.208,GP(skopt),50
67516c560c6e5099c1f9b277,wine_quality,mlp,low,sparse,heuristic,24.706,24.340,1.826,0.894,2.000,1.000,0.050,0.471,1.174,0.928,2,23.560,GP(skopt),50
67e85abca44b52f2e03fcbb1,wine_quality,mlp,low,sparse,calculation,28.459,26.135,11.617,3.000,2.000,1.000,0.050,-2.000,1.500,0.928,2,28.174,GP(skopt),50
67e85abca44b52f2e03fcbb1,wine_quality,mlp,low,sparse,heuristic,21.720,17.492,21.139,3.000,2.000,1.000,0.050,-2.000,1.182,0.202,2,18.303,GP(skopt),50
