appId,instanceId,v0,v1,v2,y
wine_quality_iter3,101,0.51,3.09,11.8,1
wine_quality_iter3,102,0.395,3.27,12.2,1
wine_quality_iter3,103,0.915,3.35,10.2,1
wine_quality_iter3,104,0.32,3.17,10.4,0
wine_quality_iter3,105,0.28,3.15,10.6,1
wine_quality_iter3,106,0.53,3.5,11.0,0
wine_quality_iter3,107,0.585,3.56,12.9,1
wine_quality_iter3,108,0.41,3.42,10.6,0
wine_quality_iter3,109,0.4,3.32,13.4,1
wine_quality_iter3,110,0.41,3.02,9.9,1
wine_quality_iter3,111,0.7,3.32,9.0,0
wine_quality_iter3,112,0.43,3.42,10.5,0
wine_quality_iter3,113,0.24,3.14,11.3,1
wine_quality_iter3,114,0.4,3.28,11.3,1
wine_quality_iter3,115,0.32,3.33,11.0,1
wine_quality_iter3,116,0.32,3.2,9.6,0
wine_quality_iter3,117,0.31,3.33,12.0,1
wine_quality_iter3,118,0.58,3.27,9.6,0
wine_quality_iter3,119,0.67,3.42,11.1,0
wine_quality_iter3,120,0.63,3.32,9.5,0
wine_quality_iter3,121,0.68,3.5,9.9,0
